variant,fold,training_rows,validation_rows,fit_seconds,RMSE_RM,MAE_RM,R2,Top5_RMSE_RM,Top5_MAE_RM,selected_m
building_name_te_weight_005,5,3033,758,1.775357400008943,138940.07410583785,63609.887629509205,0.8186702814766652,555773.3978447389,367827.0648502109,5.0
building_name_te_weight_010,1,3032,759,1.9627018999890424,111592.89743723477,59875.91080331021,0.8721662963169541,391569.62948868686,300286.3420499135,5.0
building_name_te_weight_010,2,3033,758,1.6751408000127412,119127.68869283175,62522.169538842856,0.9059916278959075,379021.51469078026,278945.0933746526,5.0
building_name_te_weight_010,3,3033,758,2.020948600023985,124288.03356905442,63425.2611602197,0.8523660988518853,423237.3388418024,292420.031805972,5.0
building_name_te_weight_010,4,3033,758,1.922009700036142,108990.71481360542,57442.921880755384,0.8575212060754194,373449.7357589133,254488.10233666407,5.0
building_name_te_weight_010,5,3033,758,1.6973179999622516,139470.42913928165,63566.48974071162,0.8172833141020936,559861.6521865648,370053.70691923075,5.0
building_name_te_weight_020,1,3032,759,1.8162130999844521,109137.79835871757,59224.080695945835,0.8777292317535741,377875.23881366226,285407.286392254,5.0
building_name_te_weight_020,2,3033,758,1.8215658999979496,117613.86092897927,62323.93163758532,0.9083656898754876,369472.71067319874,275350.2425145291,5.0
building_name_te_weight_020,3,3033,758,1.8723483000067063,124474.30436718815,64211.87987902974,0.8519232486291833,425963.2305180078,305111.918013705,5.0
building_name_te_weight_020,4,3033,758,1.896802699950058,109502.71714443069,57921.618346027535,0.8561794253382287,377595.7964461024,262984.1481896888,5.0
building_name_te_weight_020,5,3033,758,1.7580353999510407,139848.56004692044,64730.65138214858,0.8162912115337788,558061.0228993403,366296.0453747031,5.0
city_te,1,3032,759,1.538591800024733,111472.9946605707,59255.33176072772,0.8724408546781643,391057.6724318137,293165.5874965333,5.0
city_te,2,3033,758,1.5933148000040092,117511.79901358564,62546.37794566191,0.9085246560938127,372813.82247679273,283308.81275784137,5.0
city_te,3,3033,758,1.590353799983859,122261.72139571504,63140.15054279583,0.8571407142131949,415577.1378046579,297702.75583297265,5.0
city_te,4,3033,758,1.3935593999922276,107233.56946980472,56657.616560793605,0.8620782517623321,370675.6420187587,243657.36163412998,5.0
city_te,5,3033,758,1.7973505000118166,140619.19823828727,63793.1774685287,0.8142609714107049,560524.043651748,363883.2568840161,5.0
combined_te,1,3032,759,1.9910852999892086,122035.6639029585,61755.688340792134,0.8471217156503115,456448.2048178617,343704.12132282276,5.0
combined_te,2,3033,758,2.077979099994991,112251.59236287251,60786.11528412919,0.9165308248459572,344199.5246942806,255390.47877260044,5.0
combined_te,3,3033,758,1.8940289000165649,125716.07215357372,63194.633443695966,0.8489540554637928,433980.9621900657,300902.4526897523,5.0
combined_te,4,3033,758,1.8938012999715284,109015.52584564713,58101.20171010326,0.8574563299381713,381782.28021253104,260930.68530210434,5.0
combined_te,5,3033,758,1.8409027000307105,138266.01187663357,63021.20481264011,0.82042544137733,555489.0121475665,367145.1562825361,5.0
combined_te_frequency,1,3032,759,2.0048381999949925,122145.89308057775,61278.9826630688,0.8468454151381842,457216.8433065603,339644.27340865217,5.0
combined_te_frequency,2,3033,758,1.8278442000155337,112952.74764354,61040.26791471183,0.9154848239276446,338588.2448488996,246739.73666677173,5.0
combined_te_frequency,3,3033,758,1.8786334000178613,127261.39295221194,64314.0258255137,0.8452178741107741,435359.8640339574,299910.65811685123,5.0
combined_te_frequency,4,3033,758,1.824157800001558,108900.69482566448,57990.288115685005,0.8577564672642851,372361.79818480473,258347.16085569034,5.0
combined_te_frequency,5,3033,758,1.8979767000419088,140000.57643324617,63922.27157136908,0.8158916089288457,566086.7053249651,374027.0521230942,5.0
combined_te_frequency_city_context,1,3032,759,2.0981554000172764,124065.84629247573,62053.943004992325,0.8419928467405187,466332.5287286853,338520.1135185259,5.0
combined_te_frequency_city_context,2,3033,758,2.135046199953649,114287.46046362862,61122.02386701469,0.9134756658343481,356424.700573987,255407.5732050814,5.0
combined_te_frequency_city_context,3,3033,758,2.0486318000475876,123339.40401838496,63511.06960184882,0.8546111326062169,422751.15408308606,295794.57415087364,5.0
combined_te_frequency_city_context,4,3033,758,2.0491637000232004,104444.20392052189,56415.06575677738,0.8691601864907627,346713.06705691514,232732.73600269007,5.0
combined_te_frequency_city_context,5,3033,758,2.130256799980998,138033.89160684537,63337.63592329375,0.8210278729643039,554949.7255336537,368740.7048374063,5.0
developer_te,1,3032,759,1.5539588000392541,115826.96779586667,59550.345252897976,0.8622817046718853,426043.20477763633,313891.22900086595,5.0
developer_te,2,3033,758,1.6740996000007726,115384.60266826121,61885.100801786444,0.9118064511590913,353387.21144188166,265914.84645747463,5.0
developer_te,3,3033,758,1.5589813000406139,131106.83817047076,64130.963735650235,0.8357224754549951,466238.70601774834,314773.23583337653,5.0
developer_te,4,3033,758,1.5169553000014275,110325.76846082417,58136.05320151946,0.8540093135288752,383715.1678507115,254424.21993362994,5.0
developer_te,5,3033,758,1.5089365000021644,137002.69606509834,62911.10360845732,0.8236919417432844,544281.0003015974,358289.8036610436,5.0
