Model,Feature,Raw_Feature,Importance,Importance_Type
Gradient Boosting,Has Highway,has_highway,0.0004400062298167057,Feature Importance
Gradient Boosting,Completion Year,completion_year,0.006271108646033194,Feature Importance
Gradient Boosting,Property Age,property_age,0.005065070222618385,Feature Importance
Gradient Boosting,Number Of Floors,number_of_floors,0.01814181809708338,Feature Importance
Gradient Boosting,Total Units,total_units,0.010732509670918905,Feature Importance
Gradient Boosting,Description Length,description_length,0.01787694827211192,Feature Importance
Gradient Boosting,Has Swimming Pool,has_swimming_pool,0.0011646263454368143,Feature Importance
Gradient Boosting,Has Security,has_security,0.005068218640633452,Feature Importance
Gradient Boosting,Has Lift,has_lift,0.0027573053538859646,Feature Importance
Gradient Boosting,Has Gym,has_gym,0.009925339495670475,Feature Importance
Gradient Boosting,Has Playground,has_playground,0.0011030281840118008,Feature Importance
Gradient Boosting,Is Furnished,is_furnished,0.010329114518017306,Feature Importance
Gradient Boosting,Is Renovated,is_renovated,0.0030131268037537438,Feature Importance
Gradient Boosting,Property Type,property_type,0.12539183450736138,Feature Importance
Gradient Boosting,Tenure Type,tenure_type,0.006189514585462646,Feature Importance
Gradient Boosting,Land Title,land_title,0.004244136265184195,Feature Importance
Gradient Boosting,Floor Range,floor_range,0.009965848366150621,Feature Importance
Gradient Boosting,State,state,0.023494924761155906,Feature Importance
Gradient Boosting,Building Name,building_name,0.4998711412733389,Feature Importance
Gradient Boosting,Developer,developer,0.0731048513461904,Feature Importance
Gradient Boosting,City,city,0.08129400867471191,Feature Importance
LightGBM + Position Features,Property Size sq.ft.,property_size_sqft,5586.0,Feature Importance
LightGBM + Position Features,Bedroom,bedroom,826.0,Feature Importance
LightGBM + Position Features,Bathroom,bathroom,503.0,Feature Importance
LightGBM + Position Features,Parking Lot,parking_lot,492.0,Feature Importance
LightGBM + Position Features,Facilities Count,facilities_count,2382.0,Feature Importance
LightGBM + Position Features,Has School,has_school,148.0,Feature Importance
LightGBM + Position Features,Has Mall,has_mall,194.0,Feature Importance
LightGBM + Position Features,Has Hospital,has_hospital,150.0,Feature Importance
LightGBM + Position Features,Has Railway,has_railway,158.0,Feature Importance
LightGBM + Position Features,Has Bus Stop,has_bus_stop,153.0,Feature Importance
LightGBM + Position Features,Has Park,has_park,179.0,Feature Importance
LightGBM + Position Features,Has Highway,has_highway,66.0,Feature Importance
LightGBM + Position Features,Completion Year,completion_year,1702.0,Feature Importance
LightGBM + Position Features,Property Age,property_age,816.0,Feature Importance
LightGBM + Position Features,Number Of Floors,number_of_floors,1806.0,Feature Importance
LightGBM + Position Features,Total Units,total_units,2179.0,Feature Importance
LightGBM + Position Features,Description Length,description_length,5841.0,Feature Importance
LightGBM + Position Features,Has Swimming Pool,has_swimming_pool,163.0,Feature Importance
LightGBM + Position Features,Has Security,has_security,189.0,Feature Importance
LightGBM + Position Features,Has Lift,has_lift,442.0,Feature Importance
LightGBM + Position Features,Has Gym,has_gym,251.0,Feature Importance
LightGBM + Position Features,Has Playground,has_playground,219.0,Feature Importance
LightGBM + Position Features,Is Furnished,is_furnished,566.0,Feature Importance
LightGBM + Position Features,Is Renovated,is_renovated,544.0,Feature Importance
LightGBM + Position Features,Log1P Property Size sq.ft.,log1p_property_size_sqft,2157.0,Feature Importance
LightGBM + Position Features,Property Size sq.ft. Squared,property_size_sqft_squared,869.0,Feature Importance
LightGBM + Position Features,High Floor,is_high_floor_text,92.0,Feature Importance
LightGBM + Position Features,Low Floor,is_low_floor_text,5.0,Feature Importance
LightGBM + Position Features,Top Floor,is_top_floor_text,43.0,Feature Importance
LightGBM + Position Features,Balcony,has_balcony,122.0,Feature Importance
LightGBM + Position Features,Large Balcony,has_large_balcony,0.0,Feature Importance
LightGBM + Position Features,Property Type,property_type,1450.0,Feature Importance
LightGBM + Position Features,Tenure Type,tenure_type,1630.0,Feature Importance
LightGBM + Position Features,Land Title,land_title,1316.0,Feature Importance
LightGBM + Position Features,Floor Range,floor_range,3160.0,Feature Importance
LightGBM + Position Features,State,state,2176.0,Feature Importance
LightGBM + Position Features,Building Name,building_name,4538.0,Feature Importance
LightGBM + Position Features,Developer,developer,3433.0,Feature Importance
LightGBM + Position Features,City,city,2885.0,Feature Importance
LightGBM + Position Features,Size Band,size_band,1647.0,Feature Importance
LightGBM + Position Features,State Property Type,state_property_type,2613.0,Feature Importance
LightGBM + Position Features,City Property Type,city_property_type,3602.0,Feature Importance
LightGBM + Position Features,City Tenure Type,city_tenure_type,3692.0,Feature Importance
LightGBM + Position Features,City Building Name,city_building_name,2021.0,Feature Importance
LightGBM + Position Features,City Developer,city_developer,3844.0,Feature Importance
LightGBM + Position Features,City Size Band,city_size_band,4023.0,Feature Importance
LightGBM + Position Features,Property Type Size Band,property_type_size_band,2999.0,Feature Importance
