fold,analyzer,n_components,component,explained_variance_ratio,cumulative_explained_variance_ratio,vocabulary_size
1,word,50,description_svd_35,0.0033369835752536264,0.25715038292527476,5000
1,word,50,description_svd_36,0.003273904529596448,0.26042428745487123,5000
1,word,50,description_svd_37,0.0031969018405600537,0.26362118929543127,5000
1,word,50,description_svd_38,0.0031631085172402987,0.26678429781267154,5000
1,word,50,description_svd_39,0.0031088409617967346,0.2698931387744683,5000
1,word,50,description_svd_40,0.0030014811936996343,0.27289461996816794,5000
1,word,50,description_svd_41,0.002934394958249156,0.2758290149264171,5000
1,word,50,description_svd_42,0.002885670044068709,0.2787146849704858,5000
1,word,50,description_svd_43,0.002820753077485623,0.28153543804797143,5000
1,word,50,description_svd_44,0.002767726691667423,0.28430316473963885,5000
1,word,50,description_svd_45,0.002722345112455493,0.28702550985209435,5000
1,word,50,description_svd_46,0.002682172675926163,0.28970768252802054,5000
1,word,50,description_svd_47,0.002651550681524942,0.2923592332095455,5000
1,word,50,description_svd_48,0.0025792347249369114,0.2949384679344824,5000
1,word,50,description_svd_49,0.002535209406389233,0.29747367734087166,5000
1,word,50,description_svd_50,0.0025343696495415766,0.3000080469904132,5000
2,word,10,description_svd_01,0.00949827159925927,0.00949827159925927,5000
2,word,10,description_svd_02,0.03846422155766935,0.04796249315692862,5000
2,word,10,description_svd_03,0.014990242679041562,0.06295273583597018,5000
2,word,10,description_svd_04,0.01461430717379706,0.07756704300976724,5000
2,word,10,description_svd_05,0.012074263069998044,0.08964130607976528,5000
2,word,10,description_svd_06,0.011268810727378347,0.10091011680714362,5000
2,word,10,description_svd_07,0.010857936495320799,0.11176805330246442,5000
2,word,10,description_svd_08,0.009457276217781058,0.12122532952024548,5000
2,word,10,description_svd_09,0.00881215218770608,0.13003748170795157,5000
2,word,10,description_svd_10,0.007998866431543265,0.13803634813949484,5000
2,word,20,description_svd_01,0.009498272112806344,0.009498272112806344,5000
2,word,20,description_svd_02,0.038464222737975354,0.047962494850781696,5000
2,word,20,description_svd_03,0.014990154922814285,0.06295264977359598,5000
2,word,20,description_svd_04,0.014614450930721496,0.07756710070431748,5000
2,word,20,description_svd_05,0.012074196303655856,0.08964129700797334,5000
2,word,20,description_svd_06,0.011270153482450057,0.1009114504904234,5000
2,word,20,description_svd_07,0.010858644018948016,0.1117700945093714,5000
2,word,20,description_svd_08,0.009461956068081534,0.12123205057745294,5000
2,word,20,description_svd_09,0.008819989120514658,0.1300520396979676,5000
2,word,20,description_svd_10,0.008002231832771586,0.13805427153073918,5000
2,word,20,description_svd_11,0.007745384758369344,0.14579965628910851,5000
2,word,20,description_svd_12,0.006476634418516216,0.15227629070762472,5000
2,word,20,description_svd_13,0.006262410196110433,0.15853870090373515,5000
2,word,20,description_svd_14,0.006078141637556304,0.16461684254129144,5000
2,word,20,description_svd_15,0.005946829970723105,0.17056367251201454,5000
2,word,20,description_svd_16,0.005668665467308737,0.17623233797932328,5000
2,word,20,description_svd_17,0.00540748866315735,0.18163982664248063,5000
2,word,20,description_svd_18,0.005194430346503734,0.18683425698898437,5000
2,word,20,description_svd_19,0.005050648323073029,0.1918849053120574,5000
2,word,20,description_svd_20,0.0047363124531659626,0.19662121776522337,5000
2,word,30,description_svd_01,0.00949827206984262,0.00949827206984262,5000
2,word,30,description_svd_02,0.038464222753597545,0.047962494823440165,5000
2,word,30,description_svd_03,0.014990161020632968,0.06295265584407313,5000
2,word,30,description_svd_04,0.014614457309764699,0.07756711315383782,5000
2,word,30,description_svd_05,0.01207419556683298,0.0896413087206708,5000
2,word,30,description_svd_06,0.011270167179044402,0.1009114758997152,5000
2,word,30,description_svd_07,0.01085868983166596,0.11177016573138117,5000
2,word,30,description_svd_08,0.009461959352042956,0.12123212508342412,5000
2,word,30,description_svd_09,0.008820132773128559,0.1300522578565527,5000
2,word,30,description_svd_10,0.008002445127335724,0.13805470298388842,5000
2,word,30,description_svd_11,0.007745208004797383,0.1457999109886858,5000
2,word,30,description_svd_12,0.006485114405616487,0.1522850253943023,5000
2,word,30,description_svd_13,0.006275813560337003,0.1585608389546393,5000
2,word,30,description_svd_14,0.006094518282573509,0.1646553572372128,5000
2,word,30,description_svd_15,0.005947139751000524,0.17060249698821334,5000
2,word,30,description_svd_16,0.005686949084056928,0.17628944607227026,5000
2,word,30,description_svd_17,0.005431110070914419,0.1817205561431847,5000
2,word,30,description_svd_18,0.005218809254679824,0.18693936539786452,5000
2,word,30,description_svd_19,0.0051019030531579135,0.19204126845102243,5000
2,word,30,description_svd_20,0.004746940519756294,0.19678820897077873,5000
2,word,30,description_svd_21,0.004703363499791699,0.20149157247057042,5000
2,word,30,description_svd_22,0.00454825203848071,0.20603982450905114,5000
2,word,30,description_svd_23,0.004439227787432187,0.21047905229648334,5000
2,word,30,description_svd_24,0.004329427935246301,0.21480848023172963,5000
2,word,30,description_svd_25,0.004204215733835606,0.21901269596556525,5000
2,word,30,description_svd_26,0.00413596363822604,0.2231486596037913,5000
2,word,30,description_svd_27,0.004079434769338018,0.22722809437312932,5000
2,word,30,description_svd_28,0.0038946637222322983,0.23112275809536162,5000
2,word,30,description_svd_29,0.0038222949039690823,0.2349450529993307,5000
2,word,30,description_svd_30,0.003659003445741933,0.23860405644507263,5000
2,word,50,description_svd_01,0.009498272073794355,0.009498272073794355,5000
2,word,50,description_svd_02,0.03846422274674743,0.04796249482054178,5000
2,word,50,description_svd_03,0.014990160581662918,0.0629526554022047,5000
2,word,50,description_svd_04,0.014614454383410927,0.07756710978561562,5000
2,word,50,description_svd_05,0.012074196663319896,0.08964130644893552,5000
2,word,50,description_svd_06,0.011270178437201305,0.10091148488613683,5000
2,word,50,description_svd_07,0.01085870260877014,0.11177018749490697,5000
2,word,50,description_svd_08,0.009461982562602613,0.12123217005750958,5000
2,word,50,description_svd_09,0.008820229454118395,0.13005239951162798,5000
2,word,50,description_svd_10,0.008002641582619196,0.13805504109424718,5000
2,word,50,description_svd_11,0.007746067901648463,0.14580110899589566,5000
2,word,50,description_svd_12,0.006486112090305296,0.15228722108620096,5000
2,word,50,description_svd_13,0.006277839634779757,0.15856506072098073,5000
2,word,50,description_svd_14,0.006095318026109822,0.16466037874709055,5000
2,word,50,description_svd_15,0.005949301649161147,0.1706096803962517,5000
2,word,50,description_svd_16,0.00569019733575412,0.17629987773200584,5000
2,word,50,description_svd_17,0.005437091467629823,0.18173696919963567,5000
2,word,50,description_svd_18,0.0052234558401871006,0.18696042503982277,5000
2,word,50,description_svd_19,0.005111926750160475,0.19207235178998325,5000
2,word,50,description_svd_20,0.004757251904249312,0.19682960369423255,5000
2,word,50,description_svd_21,0.0047140958869394635,0.20154369958117202,5000
