variant,architecture,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM,Mean_Error_RM,Median_Error_RM,Top5_RMSE_RM,Top5_MAE_RM,Remaining95_RMSE_RM,Remaining95_MAE_RM,P95_P99_RMSE_RM,P95_P99_MAE_RM,P99_P100_RMSE_RM,P99_P100_MAE_RM
tfidf_svd_30,text_enhanced_lightgbm,120223.87218653818,60523.33129354048,0.867027569853668,0.8644525254828945,34195.64382932015,-242.1734203542022,3599.686261407507,429744.47573402495,291304.35639511753,73973.61773283276,48346.60405963333,311713.98937365704,228805.85827124963,723546.3314012834,533285.7209259905
structured_text_ridge_blend_80_20,exploratory_fixed_blend,120284.41070696177,61145.18031644071,0.8668936200681236,,33459.417130940186,-1120.4168654683692,5756.71786147391,424612.6551585149,299825.5405394231,75622.47941656136,48551.65950489763,306914.28708124085,232233.2011921771,716697.7153645635,561529.2133967094
basic_text_existing_control,control,120372.50720563732,61398.96552303074,0.866698574008528,0.865204801358677,32756.79514097757,-1221.8974797922472,3374.984530591697,420311.5104220744,295732.30946059735,77024.85109953633,49034.80685928797,317840.2626395696,238885.1326253187,685216.5703863808,515832.9172074453
lightgbm_structured_reference,reference,120372.50720563732,61398.96552303073,0.866698574008528,0.865204801358677,32756.79514097757,-1221.8974797922451,3374.984530591697,420311.5104220744,295732.30946059735,77024.85109953633,49034.80685928797,317840.2626395696,238885.1326253187,685216.5703863808,515832.9172074453
structured_baseline_reproduced,control,120372.50720563732,61398.96552303074,0.866698574008528,0.865204801358677,32756.79514097757,-1221.8974797922472,3374.984530591697,420311.5104220744,295732.30946059735,77024.85109953633,49034.80685928797,317840.2626395696,238885.1326253187,685216.5703863808,515832.9172074453
regex_group_private_luxury,text_enhanced_lightgbm,120458.04158262005,61731.09854717524,0.866509063867773,0.8648328485329575,33612.20272948634,-1620.1812908509896,3070.6195736457594,418927.4308509378,296842.2966985875,77561.60198777643,49325.89786715072,320164.9718689273,240994.7264427166,676845.8058257661,513072.63281747233
tfidf_svd_10,text_enhanced_lightgbm,120740.37908337906,60977.32923324361,0.8658825607908467,0.8640168286242131,33618.38766197383,-6.170907571456346,3544.4857706498005,428458.8346986222,290624.33553475805,75241.8662453487,48860.43637090321,317632.7173374031,232472.72313382194,709733.6601266252,515775.45021530555
regex_group_layout,text_enhanced_lightgbm,120854.87580046852,61656.41959468215,0.8656280761259322,0.8639044384065427,32765.89765686961,-437.2205645971814,3519.349016490625,419372.246065859,294773.2367698262,78082.91252359933,49356.44868013691,316330.78719298815,237001.94692963347,685117.3423828338,518451.8205100596
random_forest_reference,reference,123416.25608940294,61217.27428950846,0.85987200183711,0.8586787884413642,32924.28841907636,343.42651230889214,4952.998965304112,437137.8158097914,294346.1151562098,77154.13577508794,48916.66896746646,310389.74429233535,225977.61205094735,746949.1539424857,559054.9348714566
text_only_tfidf_ridge,ridge_text_only,172747.94622896807,95535.3065002937,0.7254597858513274,,60367.38395288965,-714.4944081729731,19771.86197156756,608825.1687632685,452865.10535219405,108898.10385548498,76681.47095964914,405826.9040209463,337238.39387074526,1080810.7057230538,900548.0139085727
