listing_id,price,property_size_sqft,bedroom,bathroom,parking_lot,facilities_count,has_school,has_mall,has_hospital,has_railway,has_bus_stop,has_park,has_highway,completion_year,property_age,number_of_floors,total_units,description_length,has_swimming_pool,has_security,has_lift,has_gym,has_playground,is_furnished,is_renovated,property_type,tenure_type,land_title,floor_range,state,building_name,developer,city
102664029,228000,958.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,,,17.0,,390.0,1,1,0,0,1,0,0,Apartment,Leasehold,Bumi Lot,High,Johor,Persiaran Tanjung Apartment,Unknown,Tampoi
103042046,368000,965.0,3.0,2.0,1.0,4,1,0,0,0,0,0,0,2015.0,11.0,16.0,228.0,953.0,1,0,0,1,1,0,0,Condominium,Leasehold,Bumi Lot,Unknown,Selangor,228 Selayang Condominium,Mahumas Sdn Bhd,Selayang
103805672,530000,1120.0,3.0,2.0,1.0,5,0,0,0,0,0,0,0,,,,,290.0,1,1,1,1,0,1,0,Apartment,Leasehold,Non Bumi Lot,Medium,Sarawak,Yarra Park,Unknown,Kuching
103805666,670000,1654.0,4.0,3.0,2.0,11,0,0,0,0,0,0,0,1998.0,28.0,15.0,198.0,630.0,1,1,1,1,1,1,1,Condominium,Freehold,Non Bumi Lot,Medium,Putrajaya,Puteri Palma Condominium,IOI Properties Group,Putrajaya
103805719,295000,1000.0,3.0,2.0,1.0,7,0,0,0,0,0,0,1,2007.0,19.0,13.0,445.0,894.0,0,1,1,0,1,1,0,Apartment,Freehold,Non Bumi Lot,Low,Selangor,Sri Lavender Apartment,TLS Group,Kajang
103805714,320000,700.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,1999.0,27.0,16.0,476.0,1678.0,1,1,1,0,1,1,1,Condominium,Freehold,Non Bumi Lot,Medium,Penang,Azuria,Unknown,Tanjung Bungah
103805712,410000,1400.0,3.0,2.0,2.0,3,1,0,0,0,0,1,0,,,,,763.0,0,0,0,0,1,1,0,Others,Leasehold,Non Bumi Lot,Unknown,Selangor,Lestari Perdana Apartment,Unknown,Seri Kembangan
102887743,100000,650.0,3.0,2.0,1.0,0,1,0,0,0,0,0,0,,,,,829.0,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Low,Selangor,Palma Apartment (Bandar Country Homes),Unknown,Rawang
103120855,148000,560.0,2.0,1.0,3.0,3,1,0,0,1,1,1,0,,,,,1572.0,0,0,1,0,1,0,0,Flat,Leasehold,Bumi Lot,High,Kuala Lumpur,Sri Pangkor (Sentul),Unknown,Kuala Lumpur
103795255,380500,900.0,3.0,2.0,2.0,14,0,0,0,0,0,0,0,,,,,626.0,1,1,1,1,1,0,0,Service Residence,Leasehold,Non Bumi Lot,Unknown,Selangor,Damansara PJ New Condo,Unknown,SS2
103708653,620000,1598.0,3.0,2.0,2.0,7,0,0,0,0,0,0,0,2017.0,9.0,42.0,670.0,139.0,1,1,1,1,1,0,0,Condominium,Freehold,Non Bumi Lot,Medium,Penang,The Clovers,Asia Green Group,Sungai Ara
103795254,380000,900.0,3.0,2.0,2.0,14,0,0,0,0,0,0,0,,,,,626.0,1,1,1,1,1,0,0,Service Residence,Leasehold,Non Bumi Lot,Unknown,Selangor,Damansara PJ New Condo,Unknown,Bandar Utama
103795238,380300,900.0,3.0,2.0,2.0,14,0,0,0,0,0,0,0,,,,,626.0,1,1,1,1,1,0,0,Service Residence,Leasehold,Non Bumi Lot,Unknown,Selangor,Damansara PJ New Condo,Unknown,Damansara Jaya
103663119,280000,1001.0,3.0,2.0,2.0,5,0,0,0,0,0,0,0,2006.0,20.0,22.0,246.0,998.0,0,1,1,0,1,1,0,Apartment,Freehold,Non Bumi Lot,Medium,Selangor,Pangsapuri Saujana Permai 2,Majlis Perbandaran Kajang,Kajang
103537807,300000,850.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,15.0,,248.0,0,0,0,0,0,0,1,Apartment,Freehold,Non Bumi Lot,High,Johor,Indah Court Apartment (Bukit Indah),Unknown,Johor Bahru
101480721,298000,1180.0,4.0,2.0,1.0,8,0,0,0,0,0,0,0,,,,,369.0,1,1,0,1,1,0,1,Apartment,Freehold,Non Bumi Lot,Medium,Johor,Nusa Perdana Service Apartment,Unknown,Gelang Patah
103530633,469000,1385.0,4.0,2.0,1.0,5,0,0,0,0,0,0,0,,,,42.0,272.0,1,1,0,1,1,0,0,Apartment,Freehold,Non Bumi Lot,Low,Johor,Idaman Residence @ Nusa Idaman,UEM Sunrise Berhad,Skudai
103805563,270000,800.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,,,5.0,,719.0,0,1,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Low,Selangor,Pangsapuri Lotus (Teratai),Unknown,Puchong
103805555,320000,983.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,,,23.0,,1043.0,1,1,0,1,1,0,1,Condominium,Freehold,Bumi Lot,Medium,Melaka,Langat Jaya,Unknown,Cheras
102631653,550000,1515.0,3.0,3.0,1.0,11,0,0,0,0,0,0,0,1998.0,28.0,15.0,198.0,554.0,1,1,1,1,1,1,0,Condominium,Freehold,Non Bumi Lot,Low,Putrajaya,Puteri Palma Condominium,IOI Properties Group,Putrajaya
102006980,470000,1711.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,,,,,717.0,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Village Grove Condominium,Unknown,Kuching
103805644,245000,850.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,2015.0,11.0,20.0,1440.0,949.0,0,1,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Medium,Selangor,Flora Damansara,MK Land Holdings,Damansara Perdana
103073792,580000,1667.0,3.0,3.0,1.0,0,0,0,0,0,0,0,0,,,,,704.0,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Village Grove Condominium,Unknown,Kuching
102725022,650000,2020.0,5.0,2.0,2.0,0,0,0,0,0,0,0,0,,,,,728.0,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,High,Sarawak,Village Grove Condominium,Unknown,Kuching
102850930,369900,1012.0,3.0,2.0,3.0,10,1,0,0,1,0,0,0,2014.0,12.0,23.0,744.0,1231.0,1,1,1,1,1,0,1,Service Residence,Freehold,Non Bumi Lot,Medium,Selangor,Amara Service Residences,Jaya Megah Development Sdn Bhd,Batu Caves
103149030,320000,650.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,,,27.0,454.0,742.0,0,1,1,0,0,0,1,Apartment,Freehold,Non Bumi Lot,Medium,Penang,Mutiara Vista,Syarikat Perumahan Negara Berhad,Jelutong
103805620,220000,650.0,3.0,2.0,1.0,2,1,0,1,0,0,1,0,,,5.0,,1097.0,0,1,0,0,1,0,0,Apartment,Freehold,Bumi Lot,Medium,Selangor,Seroja Apartment,S P Setia Bhd,Setia Alam
103805611,220000,477.0,1.0,1.0,1.0,9,0,0,0,0,0,0,0,2017.0,9.0,23.0,763.0,804.0,1,1,1,1,1,0,1,Service Residence,Freehold,Non Bumi Lot,Low,Selangor,Kiara Plaza,SYF Development,Semenyih
103805539,320000,1117.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,,,,,709.0,1,1,1,1,1,0,0,Apartment,Freehold,Bumi Lot,Unknown,Perak,Casa Kayangan,Perbadanan Kemajuan Negeri Perak (PKNP),Ipoh
103581872,118000,516.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,,640.0,0,0,0,0,0,1,1,Flat,Freehold,Non Bumi Lot,Unknown,Johor,Bandar Selesa Jaya,Unknown,Skudai
103563958,125000,494.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,,602.0,0,0,0,0,0,1,1,Flat,Freehold,Non Bumi Lot,High,Johor,Flat Taman Ungku Tun Aminah,Tasek Maju Realty Sdn Bhd,Skudai
103443920,530000,1200.0,3.0,3.0,2.0,14,0,0,0,0,0,0,0,,,,,1047.0,1,1,1,1,1,1,0,Condominium,Freehold,Non Bumi Lot,Medium,Kuala Lumpur,Vista Harmoni,Unknown,Kuala Lumpur
103383454,518000,1300.0,4.0,3.0,3.0,14,0,0,0,0,0,0,0,2023.0,3.0,44.0,684.0,1052.0,1,1,1,1,1,1,0,Service Residence,Freehold,Non Bumi Lot,Medium,Kuala Lumpur,MiNest Residence,Mi Nest Development Sdn Bhd,Kuala Lumpur
103351715,110000,526.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,,,,,719.0,0,0,0,0,0,1,1,Flat,Freehold,Non Bumi Lot,Low,Johor,Selera Jaya flat,Unknown,Skudai
103323847,659900,1261.0,3.0,2.0,2.0,10,1,1,0,1,1,0,0,2019.0,7.0,26.0,344.0,802.0,1,1,1,1,1,1,0,Condominium,Freehold,Non Bumi Lot,High,Kuala Lumpur,Trinity Aquata,Trinity Group,Kuala Lumpur
103293875,738000,1690.0,3.0,3.0,2.0,10,0,0,0,0,0,0,0,2014.0,12.0,18.0,156.0,461.0,1,1,1,1,1,1,0,Condominium,Freehold,Bumi Lot,Low,Kuala Lumpur,8 Petaling,Petaling Garden Sdn Bhd (I & P Group),Kuala Lumpur
103199527,545000,1300.0,4.0,3.0,1.0,14,0,0,0,0,0,0,0,2023.0,3.0,44.0,684.0,1047.0,1,1,1,1,1,1,0,Service Residence,Freehold,Non Bumi Lot,Medium,Kuala Lumpur,MiNest Residence,Mi Nest Development Sdn Bhd,Kuala Lumpur
102738500,97999,675.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,,,5.0,,272.0,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,High,Kuala Lumpur,Impiana Apartment,Palm Grove Homes / Kenmeiwood Construction & Engineering Works,Kuala Lumpur
102492658,128000,610.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,,572.0,0,0,0,0,0,1,1,Flat,Leasehold,Non Bumi Lot,Low,Johor,Jasa,Unknown,Skudai
102343002,230000,850.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,,663.0,0,0,0,0,0,1,1,Apartment,Freehold,Non Bumi Lot,Low,Johor,Sri Selera Court Apartment,Unknown,Johor Bahru
102223783,450000,1000.0,3.0,2.0,1.0,11,1,0,0,0,1,1,0,2023.0,3.0,38.0,900.0,429.0,1,1,1,1,1,0,0,Apartment,Leasehold,Non Bumi Lot,Medium,Kuala Lumpur,LSH Sentul,Lim Seong Hai Holdings Sdn Bhd,Kuala Lumpur
102211027,445000,1000.0,3.0,2.0,2.0,6,1,0,0,0,1,1,0,2023.0,3.0,38.0,900.0,1182.0,1,0,0,1,1,0,1,Apartment,Leasehold,Non Bumi Lot,Medium,Kuala Lumpur,LSH Sentul,Lim Seong Hai Holdings Sdn Bhd,Kuala Lumpur
100883751,205000,434.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,2019.0,7.0,25.0,2003.0,561.0,0,0,0,0,0,0,1,Service Residence,Freehold,Non Bumi Lot,High,Johor,Parc Regency Serviced Apartment,Malaysia Land Properties Sdn. Bhd.,Johor Bahru
99869405,135000,750.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,,539.0,0,0,0,0,0,0,1,Flat,Freehold,Non Bumi Lot,Medium,Johor,Taman Plentong Utama,Unknown,Masai
