price,property_size_sqft,bedroom,bathroom,parking_lot,facilities_count,has_school,has_mall,has_hospital,has_railway,has_bus_stop,has_park,has_highway,completion_year,number_of_floors,total_units,property_type,tenure_type,land_title,floor_range,state,city
288000,810.0,3.0,2.0,1.0,4,1,0,0,0,0,1,0,2007.0,20.0,1.0,Condominium,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur,Kuala Lumpur
220000,1046.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,,,,Condominium,Leasehold,Non Bumi Lot,Medium,Selangor,Seri Kembangan
560000,1045.0,3.0,3.0,1.0,10,1,0,0,1,1,0,0,,,,Condominium,Leasehold,Non Bumi Lot,Medium,Kuala Lumpur,Kuala Lumpur
380000,700.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,2012.0,30.0,500.0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang,Ayer Itam
340000,700.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,2012.0,30.0,500.0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang,Ayer Itam
400000,900.0,3.0,2.0,2.0,0,0,0,0,0,0,0,0,2019.0,42.0,2685.0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang,Bayan Lepas
350000,700.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,2012.0,30.0,500.0,Apartment,Freehold,Non Bumi Lot,Unknown,Penang,Ayer Itam
250000,750.0,3.0,2.0,1.0,6,0,0,0,0,0,0,0,1998.0,35.0,,Condominium,Freehold,Non Bumi Lot,Unknown,Penang,Bayan Lepas
260000,650.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,,,,Flat,Freehold,Non Bumi Lot,Unknown,Penang,Teluk Kumbar
399000,800.0,2.0,2.0,1.0,8,0,0,0,0,0,0,0,2020.0,33.0,490.0,Condominium,Freehold,Non Bumi Lot,Unknown,Penang,Simpang Ampat
329000,1082.0,3.0,3.0,1.0,10,0,0,0,0,0,0,0,2022.0,,552.0,Condominium,Freehold,Non Bumi Lot,Low,Selangor,Kajang
