price,property_size_sqft,bedroom,bathroom,parking_lot,facilities_count,has_school,has_mall,has_hospital,has_railway,has_bus_stop,has_park,has_highway,property_type,tenure_type,land_title,floor_range,state
135000,750.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Flat,Freehold,Non Bumi Lot,Medium,Johor
120000,525.0,2.0,1.0,1.0,0,0,0,0,0,0,0,0,Flat,Freehold,Non Bumi Lot,Low,Johor
290000,929.0,3.0,2.0,2.0,7,0,0,0,0,0,0,0,Apartment,Leasehold,Bumi Lot,Unknown,Negeri Sembilan
550000,1515.0,3.0,3.0,1.0,13,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,High,Putrajaya
548000,1350.0,3.0,2.0,2.0,9,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Medium,Melaka
350000,1065.0,3.0,2.0,1.0,0,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Medium,Johor
350000,876.0,2.0,2.0,1.0,0,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Unknown,Johor
560000,1066.0,3.0,2.0,2.0,7,1,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Unknown,Selangor
245000,678.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Medium,Johor
298000,850.0,3.0,2.0,1.0,7,0,0,0,0,0,0,0,Apartment,Leasehold,Non Bumi Lot,Low,Sabah
650000,753.0,3.0,2.0,2.0,10,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,High,Penang
1095000,2896.0,6.0,5.0,1.0,5,0,0,0,0,0,0,0,Others,Freehold,Non Bumi Lot,Low,Selangor
200000,1001.0,3.0,2.0,1.0,1,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,High,Melaka
437400,1654.0,3.0,3.0,2.0,11,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Low,Putrajaya
620000,1668.0,3.0,3.0,2.0,11,0,0,0,0,0,0,0,Condominium,Freehold,Non Bumi Lot,Low,Unknown
290000,861.0,3.0,2.0,1.0,2,0,0,0,0,0,0,0,Apartment,Freehold,Bumi Lot,Medium,Johor
225500,1053.0,3.0,2.0,2.0,5,0,0,0,0,0,0,0,Apartment,Freehold,Non Bumi Lot,Unknown,Selangor
465500,1081.0,3.0,2.0,2.0,10,1,0,0,0,1,1,0,Condominium,Freehold,Non Bumi Lot,Unknown,Kuala Lumpur
250000,900.0,3.0,2.0,1.0,8,1,1,1,1,1,1,1,Condominium,Freehold,Non Bumi Lot,Medium,Kuala Lumpur
850000,1100.0,2.0,2.0,3.0,5,0,0,0,0,0,0,0,Service Residence,Freehold,Non Bumi Lot,Unknown,Penang
300000,1011.0,3.0,2.0,2.0,10,1,0,0,1,0,0,0,Service Residence,Freehold,Non Bumi Lot,High,Selangor
488000,1190.0,3.0,2.0,1.0,8,0,0,0,0,0,0,0,Condominium,Freehold,Bumi Lot,Low,Selangor
335000,850.0,3.0,2.0,1.0,3,0,0,0,0,0,0,0,Service Residence,Leasehold,Non Bumi Lot,Low,Johor
368000,450.0,1.0,1.0,1.0,10,1,0,0,0,1,1,0,Service Residence,Freehold,Non Bumi Lot,Medium,Selangor
340000,818.0,3.0,2.0,1.0,8,1,1,0,1,0,0,0,Service Residence,Leasehold,Non Bumi Lot,High,Kuala Lumpur
447000,850.0,3.0,2.0,1.0,13,0,0,0,0,0,0,0,Condominium,Leasehold,Non Bumi Lot,Unknown,Penang
