row_index,listing_id,repeat_group_id,repeat_level,group_size,level1_match_group_id,level2_match_group_id
3518,102612574,RG_0231,Level 3 - possible repeat,2,,
3527,102898729,RG_0121,Level 3 - possible repeat,2,,
3536,102136019,RG_0065,Level 3 - possible repeat,2,,
3541,102800889,RG_0091,Level 3 - possible repeat,2,,
3552,102784472,RG_0232,Level 3 - possible repeat,2,,
3559,102206882,RG_0067,Level 3 - possible repeat,2,,
3561,103780408,RG_0186,Level 3 - possible repeat,3,,
3563,103780382,RG_0186,Level 3 - possible repeat,3,,
3580,102732169,RG_0194,Level 3 - possible repeat,2,,
3582,102796617,RG_0227,Level 3 - possible repeat,2,,
3604,101239391,RG_0213,Level 3 - possible repeat,2,,
3608,103541214,RG_0106,Level 3 - possible repeat,2,,
3615,103780183,RG_0126,Level 3 - possible repeat,2,,
3618,102951643,RG_0154,Level 3 - possible repeat,2,,
3630,103780151,RG_0230,Level 1 - exact duplicate,2,L1_0022,L2_0027
3633,103780109,RG_0099,Level 3 - possible repeat,2,,
3635,103780160,RG_0212,Level 3 - possible repeat,2,,
3639,103780322,RG_0198,Level 3 - possible repeat,2,,
3649,102787587,RG_0133,Level 3 - possible repeat,2,,
3651,100786387,RG_0233,Level 3 - possible repeat,2,,
3658,102797907,RG_0189,Level 3 - possible repeat,3,,
3664,102798780,RG_0094,Level 3 - possible repeat,2,,
3666,102797619,RG_0129,Level 3 - possible repeat,3,,
3667,102797739,RG_0128,Level 3 - possible repeat,3,,
3686,103780242,RG_0223,Level 3 - possible repeat,2,,
3697,102898823,RG_0188,Level 3 - possible repeat,2,,
3720,103342419,RG_0234,Level 3 - possible repeat,2,,
3721,103318967,RG_0234,Level 3 - possible repeat,2,,
3735,102803700,RG_0189,Level 3 - possible repeat,3,,
3757,103779978,RG_0070,Level 3 - possible repeat,2,,
3770,102612197,RG_0231,Level 3 - possible repeat,2,,
3776,100770946,RG_0233,Level 3 - possible repeat,2,,
3781,102785306,RG_0232,Level 3 - possible repeat,2,,
3782,102785259,RG_0183,Level 3 - possible repeat,2,,
