variant,fold,training_rows,validation_rows,count,RMSE_RM,MAE_RM,Mean_Error_RM,Median_Error_RM,R2,Top5_RMSE_RM,Top5_MAE_RM,Premium_Recall,Premium_Precision
soft_rf_lgbm_p15_calibrated,5,3033,758,758,148012.40342383285,64652.49882293666,5287.661074525679,11341.409028651775,0.7942166861935616,601927.3730816199,384143.4077541634,0.75,0.5106382978723404
soft_rf_lgbm_p15_description,1,3032,759,759,110505.99992802052,61194.608931564726,-3651.985492202188,3456.7269450474414,0.8746443303117003,375582.52479280083,286000.74836090335,0.8888888888888888,0.64
soft_rf_lgbm_p15_description,2,3033,758,758,135189.02777045587,64400.45405551695,-4299.095833268154,5058.333027303495,0.8789334991233826,436475.7857576424,310556.3233705313,0.92,0.6571428571428571
soft_rf_lgbm_p15_description,3,3033,758,758,119757.77765633393,64490.02561613505,4088.2337714008313,4962.434167710031,0.8629323652489839,371004.2768752623,263885.0655515098,0.8604651162790697,0.7708333333333334
soft_rf_lgbm_p15_description,4,3033,758,758,122619.9874251228,60085.04692947691,7069.395590154998,7855.727630734822,0.8196592950936215,390415.6128558147,265433.66151275183,0.8857142857142857,0.62
soft_rf_lgbm_p15_description,5,3033,758,758,147011.32665939175,65016.252315701866,4212.614061797607,8227.501389549521,0.7969908893782846,593597.1273350704,395316.2563556817,0.75,0.46153846153846156
soft_rf_lgbm_p20,1,3032,759,759,105505.6082679917,59490.74952636839,-215.9935137907789,3520.17262742453,0.8857323343732859,340401.4178838049,251815.31696692968,0.7777777777777778,0.8
soft_rf_lgbm_p20,2,3033,758,758,136142.18933492227,63028.73336101742,-6280.7658231519945,3531.0012812338828,0.8772203018078291,450196.9993197842,304795.1594070919,0.9,0.6818181818181818
soft_rf_lgbm_p20,3,3033,758,758,126557.436371618,65171.21490459999,5503.32923988656,4308.463881481046,0.8469255174637887,402993.7585153564,270765.8781379819,0.8604651162790697,0.7551020408163265
soft_rf_lgbm_p20,4,3033,758,758,119411.60588419232,58797.517353336756,4958.845417280828,8146.948975827661,0.8289731463347627,412698.9117488909,266533.22454142343,0.8857142857142857,0.6888888888888889
soft_rf_lgbm_p20,5,3033,758,758,142781.51988611225,62504.368050938254,1944.4552857357864,8553.189376072187,0.8085047806552489,585890.6938936275,371775.6507827386,0.75,0.4528301886792453
soft_rf_rf_p15,1,3032,759,759,117575.83257322258,61304.46262135373,528.6487462758986,3425.7530040993006,0.8580915065544586,415237.3884942851,287414.32606632425,0.7777777777777778,0.8
soft_rf_rf_p15,2,3033,758,758,136051.64064500201,64012.14645516853,-514.1126535624815,4761.12594219984,0.8773835699867084,430969.00862275186,299770.639275769,0.9,0.6818181818181818
soft_rf_rf_p15,3,3033,758,758,126945.7113265775,64137.00471963132,1706.9682175767107,4405.180636410289,0.8459848195162852,410849.6229237981,251821.067969129,0.8604651162790697,0.7551020408163265
soft_rf_rf_p15,4,3033,758,758,121683.86980678797,59395.44786153373,6718.427749325315,7738.902955658414,0.822402334024131,379328.90963454044,255131.29272675462,0.8857142857142857,0.6888888888888889
soft_rf_rf_p15,5,3033,758,758,158297.50272486956,66179.53210302629,2882.041260506609,8889.549984406316,0.764624062854476,656232.4487826182,424498.93243767135,0.75,0.4528301886792453
soft_rf_ridge_p15,1,3032,759,759,159576.48349366052,66112.9000526099,-7109.436032868338,3519.4252927902853,0.738597314478157,639826.7073200013,371646.1002194714,0.7777777777777778,0.8
soft_rf_ridge_p15,2,3033,758,758,199830.05962295696,70616.60159344842,-5696.218105966687,4683.9747735606215,0.7354774280012586,708640.535133009,382569.0978234716,0.9,0.6818181818181818
soft_rf_ridge_p15,3,3033,758,758,122804.94997568695,62852.08255666245,-2570.7739159845805,3681.994716743473,0.8558684001578932,395725.6089477503,238222.96155320213,0.8604651162790697,0.7551020408163265
soft_rf_ridge_p15,4,3033,758,758,141175.1274456908,61787.58798555027,7528.897087590608,7858.303346885485,0.7609506289861278,442705.03499309794,274901.3190301063,0.8857142857142857,0.6888888888888889
soft_rf_ridge_p15,5,3033,758,758,157297.8328739256,67323.16738372765,1901.5789555070037,8603.046993009935,0.7675875367452447,621589.50014493,410637.11634561303,0.75,0.4528301886792453
