classifier,fold,selected_inner_threshold,inner_F2_scores,threshold,ROC_AUC,PR_AUC,Precision,Recall,F1,Specificity,Balanced_Accuracy,Brier,TN,FP,FN,TP,positive_count,row_count
calibrated_lightgbm,3,0.2,calibration only; inherited training-selected LightGBM threshold,0.2,0.9906000975768416,0.8957549834230508,0.8974358974358975,0.813953488372093,0.8536585365853658,0.9944055944055944,0.9041795413888437,0.016254228894101656,711,4,8,35,43,758
lightgbm_description,3,0.2,"{""0.2"": 0.7969303423848878, ""0.3"": 0.7897934386391251, ""0.4"": 0.7581453634085213, ""0.5"": 0.7490396927016645, ""0.6"": 0.7450980392156863, ""0.7"": 0.7152406417112299}",0.2,0.9912506098552609,0.9026733311347026,0.7708333333333334,0.8604651162790697,0.8131868131868132,0.9846153846153847,0.9225402504472272,0.015130718070552999,704,11,6,37,43,758
lightgbm,4,0.3,"{""0.2"": 0.7420924574209246, ""0.3"": 0.7553058676654182, ""0.4"": 0.7407407407407407, ""0.5"": 0.7421875, ""0.6"": 0.735873850197109, ""0.7"": 0.728744939271255}",0.3,0.9905157083580319,0.7939821500557607,0.6888888888888889,0.8857142857142857,0.775,0.9806362378976486,0.9331752618059672,0.015985900643162698,709,14,4,31,35,758
random_forest,4,0.3,"{""0.2"": 0.712630359212051, ""0.3"": 0.7268170426065163, ""0.4"": 0.7254901960784313, ""0.5"": 0.7066666666666667, ""0.6"": 0.6643835616438356, ""0.7"": 0.5673758865248227}",0.3,0.9880260818020155,0.7733158926247033,0.6444444444444445,0.8285714285714286,0.725,0.9778699861687413,0.903220707370085,0.017851217203709135,707,16,6,29,35,758
calibrated_lightgbm,4,0.3,calibration only; inherited training-selected LightGBM threshold,0.3,0.989922940130409,0.7824198333914891,0.7435897435897436,0.8285714285714286,0.7837837837837838,0.9861687413554634,0.9073700849634461,0.015034661101060118,713,10,6,29,35,758
lightgbm_description,4,0.2,"{""0.2"": 0.7490864799025578, ""0.3"": 0.7418952618453866, ""0.4"": 0.7334183673469388, ""0.5"": 0.7309184993531694, ""0.6"": 0.7199471598414795, ""0.7"": 0.7065217391304348}",0.2,0.9903971547125074,0.7949547012358296,0.62,0.8857142857142857,0.7294117647058823,0.9737206085753803,0.9297174471448331,0.015974403183066765,704,19,4,31,35,758
lightgbm,5,0.2,"{""0.2"": 0.8252427184466019, ""0.3"": 0.8052434456928839, ""0.4"": 0.7898089171974523, ""0.5"": 0.7786357786357786, ""0.6"": 0.7682291666666666, ""0.7"": 0.7549668874172185}",0.2,0.9706439393939393,0.7281774049564476,0.4528301886792453,0.75,0.5647058823529412,0.9600550964187328,0.8550275482093663,0.028471474721483748,697,29,8,24,32,758
random_forest,5,0.2,"{""0.2"": 0.7903587443946188, ""0.3"": 0.774390243902439, ""0.4"": 0.7585335018963337, ""0.5"": 0.7105263157894737, ""0.6"": 0.6361149110807114, ""0.7"": 0.5492957746478874}",0.2,0.9659521349862259,0.626776715031565,0.3898305084745763,0.71875,0.5054945054945055,0.9504132231404959,0.834581611570248,0.0259471490176849,690,36,9,23,32,758
calibrated_lightgbm,5,0.2,calibration only; inherited training-selected LightGBM threshold,0.2,0.9709882920110193,0.7126272093458526,0.5106382978723404,0.75,0.6075949367088608,0.9683195592286501,0.8591597796143251,0.022458352716532546,703,23,8,24,32,758
lightgbm_description,5,0.2,"{""0.2"": 0.8078335373317014, ""0.3"": 0.7865168539325843, ""0.4"": 0.7844387755102041, ""0.5"": 0.779639175257732, ""0.6"": 0.7611548556430446, ""0.7"": 0.7456724367509987}",0.2,0.9670282369146004,0.7272468973509081,0.46153846153846156,0.75,0.5714285714285714,0.9614325068870524,0.8557162534435262,0.02859458387028052,698,28,8,24,32,758
