Experiment_Type,Model,Trim_Level,Removal_Percent,Fold,Training_Rows_Before,Training_Rows_Removed,Training_Rows_Retained,Actual_Removal_Pct,Training_Derived_Cutoff_RM,Maximum_Retained_Training_Price_RM,Validation_Rows,Validation_Rows_Removed,RMSE_RM,MAE_RM,R2,Adjusted_R2,Median_AE_RM
training_only,Random Forest,C,1.0,2,3036,31,3005,1.0210803689064558,1693000.0000000019,1680000.0,755,0,130685.1557592855,61499.904851967214,0.8834094607537889,0.8782420130309652,32209.567486402986
training_only,Random Forest,C,1.0,3,3032,27,3005,0.8905013192612138,1700000.0,1700000.0,759,0,138573.17279874053,60501.42971824022,0.758872960804701,0.7482447717492609,31580.44922803709
training_only,Random Forest,C,1.0,4,3029,31,2998,1.0234400792340705,1694399.999999996,1680000.0,762,0,125720.98127967835,66203.21383669485,0.857425000872551,0.8511665646968605,35680.261556613244
training_only,Random Forest,C,1.0,5,3033,31,3002,1.022090339597758,1693599.9999999967,1680000.0,758,0,136935.03831718408,62411.99550370228,0.8179989166138883,0.809965765347191,32203.54842961434
training_only,Random Forest,D,2.5,1,3034,76,2958,2.5049439683586026,1202309.9999999965,1200000.0,757,0,144687.86515911066,65220.93253318613,0.797513738793497,0.7885640697898946,33596.76124481144
training_only,Random Forest,D,2.5,2,3036,73,2963,2.404479578392622,1200000.0,1200000.0,755,0,155260.50364676822,64451.01747090611,0.8354367815157479,0.8281431208627061,30430.01515255042
training_only,Random Forest,D,2.5,3,3032,75,2957,2.4736147757255935,1200000.0,1200000.0,759,0,141315.88377487625,61612.93863127861,0.7492334819563151,0.7381804122904778,31796.82530194125
training_only,Random Forest,D,2.5,4,3029,76,2953,2.5090789039286894,1192999.9999999972,1190000.0,762,0,137505.9700578851,68127.7067034355,0.8294424449390868,0.8219556935509534,35756.24797548351
training_only,Random Forest,D,2.5,5,3033,72,2961,2.3738872403560833,1200000.0,1200000.0,758,0,148572.0392261532,65048.76688488074,0.785750919615415,0.7762944084811988,32189.25795792022
training_only,Random Forest,E,5.0,1,3034,151,2883,4.976928147659855,920000.0,920000.0,757,0,151073.77309113008,67312.59989557874,0.7792455353292169,0.7694884319183536,32420.710387836793
training_only,Random Forest,E,5.0,2,3036,147,2889,4.841897233201581,900000.0,900000.0,755,0,185210.85236481554,71958.97233095682,0.7658233159001978,0.7554442938902343,31929.64359187527
training_only,Random Forest,E,5.0,3,3032,151,2881,4.980211081794195,920000.0,920000.0,759,0,156331.03318638747,65993.06949564343,0.6931133558188778,0.6795866717778366,31233.714714649366
training_only,Random Forest,E,5.0,4,3029,152,2877,5.018157807857379,905999.9999999991,900000.0,762,0,155240.83739826846,73024.75046777175,0.782609877717154,0.7730673757788122,37919.26387892652
training_only,Random Forest,E,5.0,5,3033,147,2886,4.8466864490603365,900000.0,900000.0,758,0,165480.8775503528,71759.15000101629,0.734208903694151,0.7224774346158239,32172.120115814367
training_only,Random Forest,F,10.0,1,3034,292,2742,9.62425840474621,700000.0,700000.0,757,0,183589.55009031593,74497.7351263721,0.6739927494941137,0.6595835892507595,33954.73231329868
training_only,Random Forest,F,10.0,2,3036,304,2732,10.013175230566535,698999.5,698000.0,755,0,198032.54213192617,77437.56724533903,0.7322780889825498,0.7204122979125243,33978.09885163716
training_only,Random Forest,F,10.0,3,3032,293,2739,9.66358839050132,700000.0,700000.0,759,0,169472.8697928525,70911.11184476041,0.6393483202018494,0.6234518274283772,31525.86234742601
training_only,Random Forest,F,10.0,4,3029,298,2731,9.838230439088807,690000.0,690000.0,762,0,178189.12717484616,80870.8133627041,0.7135886301617875,0.7010163889617562,35642.8945321863
