variant,fold,metric_source,train_rows,validation_rows,count,rmse_rm,mae_rm,r2,top5_count,top5_rmse_rm,top5_mae_rm
B_valid_critical,5,retrained,3033,758,758,139839.77913840555,63438.436503201214,0.8163142804795185,32,559308.4442114384,362517.8201621691
B_valid_critical,5,original_model_matched,3033,758,758,139839.77913840555,63438.436503201214,0.8163142804795185,32,559308.4442114384,362517.82016216905
C_complete_core,1,retrained,2964,742,742,135781.78361311197,66838.27751513614,0.8557609565873414,49,453026.15036757494,337556.9915822142
C_complete_core,1,original_model_matched,2964,742,742,129440.3265042475,67162.84766863183,0.8689192207352097,49,406289.00826165,304123.536706999
C_complete_core,2,retrained,2965,741,741,97840.60050442484,56259.086418198145,0.8584208128188684,23,361236.69054383057,285426.5847055426
C_complete_core,2,original_model_matched,2965,741,741,100149.12046820828,57283.79763837211,0.8516609563645605,23,378000.0098907282,301961.26143899135
C_complete_core,3,retrained,2965,741,741,102764.94302243127,55367.81811118605,0.9050083871793659,35,313013.4647968248,210002.38267179386
C_complete_core,3,original_model_matched,2965,741,741,102734.43770726102,56055.24045624734,0.9050647744824766,35,339805.40489867656,244147.90643408985
C_complete_core,4,retrained,2965,741,741,115524.07654378442,59271.39689743066,0.912894256067227,39,409642.5008237056,274990.5859057981
C_complete_core,4,original_model_matched,2965,741,741,123246.17838293359,59586.87244414393,0.9008600475876144,39,442671.42418667127,290067.2188736008
C_complete_core,5,retrained,2965,741,741,109651.78871192421,56669.52973102673,0.8460297837063161,38,360715.49597665627,248642.47516908526
C_complete_core,5,original_model_matched,2965,741,741,105740.9437222568,57846.807595823586,0.8568169389016296,38,327876.14028874715,258278.34888243096
D_missing_lt3,1,retrained,1727,432,432,145175.9394695045,69844.12998431016,0.8086607436878295,32,461149.77494130074,315666.726292469
D_missing_lt3,1,original_model_matched,1727,432,432,151424.56882457697,69631.74700649014,0.7918351093250728,32,482825.6200308642,317243.70831863035
D_missing_lt3,2,retrained,1727,432,432,110789.22983096428,63969.488044461374,0.8957337062465658,33,259088.0217612921,197839.10204312386
D_missing_lt3,2,original_model_matched,1727,432,432,108519.94340429123,62353.57701107821,0.8999613166983694,33,299109.51755247463,248773.5740004062
D_missing_lt3,3,retrained,1727,432,432,153109.44728552707,72951.2368738014,0.9068766055665842,34,460124.086705792,308827.1405776609
D_missing_lt3,3,original_model_matched,1727,432,432,145277.06253442416,72141.84289848177,0.9161604535037497,34,411745.45627877186,319400.6370460887
D_missing_lt3,4,retrained,1727,432,432,102541.26271606643,59902.494131154475,0.900357734278301,28,314420.11437581584,243157.87331286672
D_missing_lt3,4,original_model_matched,1727,432,432,105117.15989209233,59807.76337262573,0.8952887102991671,28,326244.5509810309,231916.61881791265
D_missing_lt3,5,retrained,1728,431,431,139096.8911660678,70792.98591771927,0.8137240820735999,33,414317.6352706889,285791.87748932344
D_missing_lt3,5,original_model_matched,1728,431,431,121940.51363396553,66607.70069526309,0.8568412475548823,33,338980.4981227068,232517.16077121758
E_missing_lt5,1,retrained,2820,705,705,121484.8791685693,62222.94935861407,0.8998208638060734,44,398520.27776668733,286771.32772921096
E_missing_lt5,1,original_model_matched,2820,705,705,108176.58578582107,59828.05509186072,0.9205672915406358,44,332375.98860044946,257067.313027756
E_missing_lt5,2,retrained,2820,705,705,101014.63808637651,59413.312490464195,0.8859642269824815,37,298833.29260181834,249351.76991013045
E_missing_lt5,2,original_model_matched,2820,705,705,108387.30652699756,59926.742717639434,0.8687106994815208,37,337729.4377732896,255629.9933344666
E_missing_lt5,3,retrained,2820,705,705,99328.15326281093,58619.25581957285,0.9159983450708997,32,277610.25126935245,218789.492503325
E_missing_lt5,3,original_model_matched,2820,705,705,98974.05455635187,57429.85864761604,0.9165961988928811,32,284916.91450821434,216447.9495844604
E_missing_lt5,4,retrained,2820,705,705,112914.32866128103,57631.1368163542,0.8617902553408044,27,457449.18555999396,295714.72387426265
