price_band,row_count,feature,missing_count,missing_pct,non_missing_count,mean_missing_important_count,complete_rows,complete_rows_pct
P50_P80,1195,building_name,25,2.092050209205021,1170,1.7539748953974896,320,26.778242677824267
P50_P80,1195,developer,377,31.548117154811717,818,1.7539748953974896,320,26.778242677824267
P80_P90,381,price,0,0.0,381,1.5853018372703411,134,35.170603674540686
P80_P90,381,property_size_sqft,0,0.0,381,1.5853018372703411,134,35.170603674540686
P80_P90,381,bedroom,0,0.0,381,1.5853018372703411,134,35.170603674540686
P80_P90,381,bathroom,0,0.0,381,1.5853018372703411,134,35.170603674540686
P80_P90,381,parking_lot,0,0.0,381,1.5853018372703411,134,35.170603674540686
P80_P90,381,completion_year,117,30.708661417322837,264,1.5853018372703411,134,35.170603674540686
P80_P90,381,number_of_floors,130,34.120734908136484,251,1.5853018372703411,134,35.170603674540686
P80_P90,381,total_units,110,28.871391076115486,271,1.5853018372703411,134,35.170603674540686
P80_P90,381,property_type,0,0.0,381,1.5853018372703411,134,35.170603674540686
P80_P90,381,tenure_type,0,0.0,381,1.5853018372703411,134,35.170603674540686
P80_P90,381,land_title,0,0.0,381,1.5853018372703411,134,35.170603674540686
P80_P90,381,floor_range,108,28.346456692913385,273,1.5853018372703411,134,35.170603674540686
P80_P90,381,state,18,4.724409448818897,363,1.5853018372703411,134,35.170603674540686
P80_P90,381,city,18,4.724409448818897,363,1.5853018372703411,134,35.170603674540686
P80_P90,381,building_name,18,4.724409448818897,363,1.5853018372703411,134,35.170603674540686
P80_P90,381,developer,85,22.30971128608924,296,1.5853018372703411,134,35.170603674540686
P90_P95,190,price,0,0.0,190,1.3578947368421053,83,43.684210526315795
P90_P95,190,property_size_sqft,0,0.0,190,1.3578947368421053,83,43.684210526315795
P90_P95,190,bedroom,0,0.0,190,1.3578947368421053,83,43.684210526315795
P90_P95,190,bathroom,0,0.0,190,1.3578947368421053,83,43.684210526315795
P90_P95,190,parking_lot,0,0.0,190,1.3578947368421053,83,43.684210526315795
P90_P95,190,completion_year,56,29.47368421052631,134,1.3578947368421053,83,43.684210526315795
P90_P95,190,number_of_floors,67,35.26315789473684,123,1.3578947368421053,83,43.684210526315795
P90_P95,190,total_units,46,24.210526315789473,144,1.3578947368421053,83,43.684210526315795
P90_P95,190,property_type,0,0.0,190,1.3578947368421053,83,43.684210526315795
P90_P95,190,tenure_type,0,0.0,190,1.3578947368421053,83,43.684210526315795
P90_P95,190,land_title,0,0.0,190,1.3578947368421053,83,43.684210526315795
P90_P95,190,floor_range,42,22.105263157894736,148,1.3578947368421053,83,43.684210526315795
P90_P95,190,state,4,2.1052631578947367,186,1.3578947368421053,83,43.684210526315795
P90_P95,190,city,4,2.1052631578947367,186,1.3578947368421053,83,43.684210526315795
P90_P95,190,building_name,4,2.1052631578947367,186,1.3578947368421053,83,43.684210526315795
P90_P95,190,developer,35,18.421052631578945,155,1.3578947368421053,83,43.684210526315795
P95_P99,151,price,0,0.0,151,1.271523178807947,56,37.086092715231786
P95_P99,151,property_size_sqft,0,0.0,151,1.271523178807947,56,37.086092715231786
P95_P99,151,bedroom,0,0.0,151,1.271523178807947,56,37.086092715231786
P95_P99,151,bathroom,0,0.0,151,1.271523178807947,56,37.086092715231786
P95_P99,151,parking_lot,0,0.0,151,1.271523178807947,56,37.086092715231786
P95_P99,151,completion_year,28,18.543046357615893,123,1.271523178807947,56,37.086092715231786
P95_P99,151,number_of_floors,54,35.76158940397351,97,1.271523178807947,56,37.086092715231786
P95_P99,151,total_units,26,17.218543046357617,125,1.271523178807947,56,37.086092715231786
P95_P99,151,property_type,0,0.0,151,1.271523178807947,56,37.086092715231786
P95_P99,151,tenure_type,0,0.0,151,1.271523178807947,56,37.086092715231786
P95_P99,151,land_title,0,0.0,151,1.271523178807947,56,37.086092715231786
P95_P99,151,floor_range,49,32.450331125827816,102,1.271523178807947,56,37.086092715231786
P95_P99,151,state,4,2.6490066225165565,147,1.271523178807947,56,37.086092715231786
P95_P99,151,city,4,2.6490066225165565,147,1.271523178807947,56,37.086092715231786
P95_P99,151,building_name,4,2.6490066225165565,147,1.271523178807947,56,37.086092715231786
P95_P99,151,developer,23,15.2317880794702,128,1.271523178807947,56,37.086092715231786
P99_P100,39,price,0,0.0,39,1.4871794871794872,13,33.33333333333333
P99_P100,39,property_size_sqft,0,0.0,39,1.4871794871794872,13,33.33333333333333
P99_P100,39,bedroom,0,0.0,39,1.4871794871794872,13,33.33333333333333
P99_P100,39,bathroom,0,0.0,39,1.4871794871794872,13,33.33333333333333
P99_P100,39,parking_lot,0,0.0,39,1.4871794871794872,13,33.33333333333333
P99_P100,39,completion_year,13,33.33333333333333,26,1.4871794871794872,13,33.33333333333333
P99_P100,39,number_of_floors,11,28.205128205128204,28,1.4871794871794872,13,33.33333333333333
P99_P100,39,total_units,10,25.64102564102564,29,1.4871794871794872,13,33.33333333333333
P99_P100,39,property_type,0,0.0,39,1.4871794871794872,13,33.33333333333333
P99_P100,39,tenure_type,0,0.0,39,1.4871794871794872,13,33.33333333333333
P99_P100,39,land_title,0,0.0,39,1.4871794871794872,13,33.33333333333333
P99_P100,39,floor_range,13,33.33333333333333,26,1.4871794871794872,13,33.33333333333333
P99_P100,39,state,2,5.128205128205128,37,1.4871794871794872,13,33.33333333333333
P99_P100,39,city,2,5.128205128205128,37,1.4871794871794872,13,33.33333333333333
P99_P100,39,building_name,2,5.128205128205128,37,1.4871794871794872,13,33.33333333333333
P99_P100,39,developer,5,12.82051282051282,34,1.4871794871794872,13,33.33333333333333
