Model_Key,Model,fold,training_rows,validation_rows,fit_seconds,RMSE_RM,MAE_RM,R2,selected_candidate,inner_candidate_scores
target_log_ppsf,RF Log1p PPSF,3,3033.0,758.0,2.9789608000428416,120986.67588405067,62453.1435165838,0.8601048844108379,,
target_log_ppsf,RF Log1p PPSF,4,3033.0,758.0,3.4200674000312574,114029.44816692504,56689.11892109126,0.8440428559558988,,
target_log_ppsf,RF Log1p PPSF,5,3033.0,758.0,2.415470500010997,148465.8824680699,62286.218536674816,0.7929538004844813,,
target_log_price,RF Log1p Total Price,1,3032.0,759.0,2.5375356000149623,166796.37637696412,67997.51785631955,0.7144083623352124,,
target_log_price,RF Log1p Total Price,2,3033.0,758.0,2.597573100007139,188783.80951349525,70899.56207680404,0.7639138053810094,,
target_log_price,RF Log1p Total Price,3,3033.0,758.0,2.517671000037808,127635.76452401553,69140.72995307654,0.844305873104693,,
target_log_price,RF Log1p Total Price,4,3033.0,758.0,2.6246425000135787,129841.87003255679,62135.83067609924,0.7977908740905996,,
target_log_price,RF Log1p Total Price,5,3033.0,758.0,2.7396920999744907,160005.98219341307,68039.709156785,0.7595158957896703,,
target_boxcox_price,RF Box-Cox Total Price,1,3032.0,759.0,2.4253403000184335,167793.37465159775,67535.47920175383,0.7109840032100078,,
target_boxcox_price,RF Box-Cox Total Price,2,3033.0,758.0,2.616719000041485,190141.34139688945,71342.4817953149,0.7605062370650993,,
target_boxcox_price,RF Box-Cox Total Price,3,3033.0,758.0,2.5812322999699973,130078.88076791062,69651.928351387,0.8382884480133239,,
target_boxcox_price,RF Box-Cox Total Price,4,3033.0,758.0,2.525920199987013,129959.86491926012,61504.422750958234,0.7974231886248678,,
target_boxcox_price,RF Box-Cox Total Price,5,3033.0,758.0,2.7488580000353977,160155.33242446944,67767.97503244238,0.7590667485981359,,
feature_full,Lightgbm FE full,1,3032.0,759.0,2.7368873999803327,110813.86987091134,59431.334269370935,0.8739448750184109,,
feature_full,Lightgbm FE full,2,3033.0,758.0,3.488711299956776,118126.36052230666,61657.20260430545,0.9075653613191367,,
feature_full,Lightgbm FE full,3,3033.0,758.0,2.685813599964604,137193.1317035522,66313.44443298796,0.8201161384809166,,
feature_full,Lightgbm FE full,4,3033.0,758.0,2.431230600050185,110105.49416742408,58670.49244665204,0.8545916959176534,,
feature_full,Lightgbm FE full,5,3033.0,758.0,2.6073278000112623,148116.55330280622,64617.33979330123,0.7939269828008444,,
feature_minus_micro_market,Lightgbm FE minus_micro_market,1,3032.0,759.0,2.3312703000265174,111378.49920055231,60007.88853609335,0.8726570263379979,,
feature_minus_micro_market,Lightgbm FE minus_micro_market,2,3033.0,758.0,1.8063550000078976,118266.37374115015,62313.20512284845,0.907346108965158,,
feature_minus_micro_market,Lightgbm FE minus_micro_market,3,3033.0,758.0,1.6974247000180185,122491.71464703212,63425.64209698856,0.8566027277446595,,
feature_minus_micro_market,Lightgbm FE minus_micro_market,4,3033.0,758.0,1.700421900022775,108770.90075781844,57671.80303763264,0.8580953331368404,,
feature_minus_micro_market,Lightgbm FE minus_micro_market,5,3033.0,758.0,1.7187693000305444,138647.09889861662,63578.12401550485,0.8194341950014972,,
feature_minus_interactions,Lightgbm FE minus_interactions,1,3032.0,759.0,2.621744000003673,113045.56466691608,60419.21275154805,0.8688164682216465,,
feature_minus_interactions,Lightgbm FE minus_interactions,2,3033.0,758.0,2.460478499997407,131712.62763113718,63969.14827303678,0.8850799176173705,,
feature_minus_interactions,Lightgbm FE minus_interactions,3,3033.0,758.0,3.193396699964069,140549.65547433513,66510.03192931952,0.8112065021257081,,
feature_minus_interactions,Lightgbm FE minus_interactions,4,3033.0,758.0,2.5272693000151776,112485.26557953564,58708.390577170176,0.848238187592989,,
feature_minus_interactions,Lightgbm FE minus_interactions,5,3033.0,758.0,3.721920499985572,164068.88269338876,65910.39408196117,0.7471480098809509,,
best_blend,Best Blend,1,,,,108613.83720609084,58080.214175855435,0.8789004363781343,,
best_blend,Best Blend,2,,,,127756.6195797441,64033.04730928151,0.8918795300531766,,
best_blend,Best Blend,3,,,,120277.52939213027,62694.71970554268,0.8617400295753717,,
best_blend,Best Blend,4,,,,115871.49846708387,59416.465437244515,0.8389634435771058,,
best_blend,Best Blend,5,,,,147546.71110595868,64807.66072999393,0.7955095636583134,,
best_stack,Best Stack,1,,,,107488.47356393622,59600.21770706757,0.8813968960498615,,
best_stack,Best Stack,2,,,,126984.04607012094,63467.50708642392,0.893183234638274,,
best_stack,Best Stack,3,,,,120192.39444923564,62953.01657124172,0.8619356868848191,,
best_stack,Best Stack,4,,,,115810.92574058176,59081.7566284901,0.8391317657929701,,
best_stack,Best Stack,5,,,,145798.7940682284,63485.47382311381,0.8003258709569343,,
