Model,Trim_Level,Removal_Percent,listing_id,scenario_b_fold,actual_price_RM,predicted_price_RM
Gradient Boosting,2.5%,2.5,102940641,3,250000.0,267456.7351700825
Gradient Boosting,2.5%,2.5,103781589,2,120000.0,130726.41799897737
Gradient Boosting,2.5%,2.5,103342475,2,410000.0,396408.6403782725
Gradient Boosting,2.5%,2.5,103781557,2,109000.0,130519.34219833666
Gradient Boosting,2.5%,2.5,103781549,5,490000.0,499059.90034340456
Gradient Boosting,2.5%,2.5,103781316,3,595000.0,601915.9073823477
Gradient Boosting,2.5%,2.5,103781326,3,120000.0,196028.02800511546
Gradient Boosting,2.5%,2.5,103781346,1,188000.0,233159.57990721363
Gradient Boosting,2.5%,2.5,103781531,1,218000.0,232510.36687708946
Gradient Boosting,2.5%,2.5,103454175,1,425000.0,500332.02800796524
Gradient Boosting,2.5%,2.5,101836062,1,155000.0,151153.95436439483
Gradient Boosting,2.5%,2.5,103781515,3,270000.0,289512.3739263829
Gradient Boosting,2.5%,2.5,103781510,1,310000.0,390394.95376547304
Gradient Boosting,2.5%,2.5,101487429,1,330000.0,330761.3488704188
Gradient Boosting,2.5%,2.5,103781474,3,240000.0,189240.65745016787
Gradient Boosting,2.5%,2.5,103781462,1,225000.0,274688.507943877
Gradient Boosting,2.5%,2.5,102686684,2,410000.0,354365.1436169957
Gradient Boosting,2.5%,2.5,99998002,4,420000.0,391198.68134553236
Gradient Boosting,2.5%,2.5,103781456,1,470000.0,418462.699592725
Gradient Boosting,2.5%,2.5,102003737,3,360000.0,330867.372193184
Gradient Boosting,2.5%,2.5,103781453,4,620000.0,430336.6733202748
Gradient Boosting,2.5%,2.5,103781447,2,120000.0,145276.7534032957
Gradient Boosting,2.5%,2.5,103556803,3,250000.0,264791.1952690115
Gradient Boosting,2.5%,2.5,103781439,3,590000.0,488662.75811513735
Gradient Boosting,2.5%,2.5,103454244,4,130000.0,165993.98689128784
Gradient Boosting,2.5%,2.5,103444149,1,489999.0,493603.3214896235
Gradient Boosting,2.5%,2.5,103430625,1,400000.0,322388.08302513696
Gradient Boosting,2.5%,2.5,103248306,2,300000.0,234388.96468645876
Gradient Boosting,2.5%,2.5,103186446,3,200000.0,240507.4389787728
Gradient Boosting,2.5%,2.5,103139752,1,400000.0,420296.58228776016
Gradient Boosting,2.5%,2.5,103674286,2,190000.0,225101.3671021218
