Model,Candidate_ID,Parameters_JSON,CV_RMSE_RM,CV_MAE_RM,CV_R2,CV_Adjusted_R2,Candidate_Rank,Selected
Random Forest,24,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 20, ""max_features"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 4, ""n_estimators"": 900, ""n_jobs"": -1, ""random_state"": 42}",128026.46926364249,61701.54878011609,0.8492075075679381,0.8479234842156693,40,False
Random Forest,23,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 900, ""n_jobs"": -1, ""random_state"": 42}",128038.63183598449,63190.95484586917,0.849178855497394,0.8478945881679413,41,False
Random Forest,45,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",128043.10923972997,64107.14025076225,0.8491683071346894,0.8478839499841598,42,False
Random Forest,37,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",128388.39043388751,64586.176948647,0.8483537445088327,0.8470624512209888,43,False
Random Forest,48,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 1, ""min_samples_split"": 10, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",128469.45767430168,64030.448306847524,0.8481621785172896,0.8468692540129131,44,False
Random Forest,10,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 24, ""max_features"": ""sqrt"", ""min_samples_leaf"": 4, ""min_samples_split"": 4, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",128480.40683248302,64514.00739915918,0.8481362958335639,0.8468431509337965,45,False
Random Forest,8,"{""bootstrap"": true, ""criterion"": ""poisson"", ""max_depth"": 12, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 6, ""n_estimators"": 500, ""n_jobs"": -1, ""random_state"": 42}",128505.43497336895,64662.23052422219,0.8480771235989212,0.846783474837656,46,False
Random Forest,36,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 10, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",128651.18554380363,65113.10687561832,0.8477323070067714,0.8464357220744182,47,False
Random Forest,31,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 30, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 8, ""n_estimators"": 300, ""n_jobs"": -1, ""random_state"": 42}",128743.61243929123,65196.438875683976,0.8475134410002547,0.8462149923871648,48,False
Random Forest,3,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": 12, ""max_features"": 0.9, ""min_samples_leaf"": 2, ""min_samples_split"": 6, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",129487.13333121839,63169.23640313755,0.845747072513262,0.8444335829763872,49,False
Random Forest,27,"{""bootstrap"": true, ""criterion"": ""squared_error"", ""max_depth"": null, ""max_features"": 0.8, ""min_samples_leaf"": 1, ""min_samples_split"": 8, ""n_estimators"": 700, ""n_jobs"": -1, ""random_state"": 42}",131383.95813308217,62375.358700610595,0.8411947464898711,0.8398424931337445,50,False
Gradient Boosting,8,"{""learning_rate"": 0.07, ""loss"": ""huber"", ""max_depth"": 6, ""max_features"": null, ""min_samples_leaf"": 5, ""min_samples_split"": 6, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",123815.8865349057,61270.67856360546,0.8589630441176763,0.8577620907945698,1,True
Gradient Boosting,33,"{""learning_rate"": 0.1, ""loss"": ""squared_error"", ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 6, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 0.7}",124333.60254987271,63082.11582301309,0.8577811320486893,0.8565701145461768,2,False
Gradient Boosting,20,"{""learning_rate"": 0.03, ""loss"": ""huber"", ""max_depth"": 5, ""max_features"": 0.9, ""min_samples_leaf"": 3, ""min_samples_split"": 8, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.8}",124669.17694816348,60859.881012170554,0.8570124031680362,0.8557948398102334,3,False
Gradient Boosting,50,"{""learning_rate"": 0.1, ""loss"": ""squared_error"", ""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.8}",125119.87445265056,62475.446589858664,0.8559766918203683,0.8547503092068109,4,False
Gradient Boosting,29,"{""learning_rate"": 0.07, ""loss"": ""huber"", ""max_depth"": 4, ""max_features"": null, ""min_samples_leaf"": 1, ""min_samples_split"": 6, ""n_estimators"": 150, ""random_state"": 42, ""subsample"": 0.9}",125192.13120903424,61806.25691756653,0.8558102968002057,0.8545824973051569,5,False
Gradient Boosting,14,"{""learning_rate"": 0.07, ""loss"": ""huber"", ""max_depth"": 5, ""max_features"": ""sqrt"", ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 400, ""random_state"": 42, ""subsample"": 1.0}",125412.53317462098,61336.4460861105,0.8553021551474398,0.8540700287410317,6,False
Gradient Boosting,35,"{""learning_rate"": 0.05, ""loss"": ""huber"", ""max_depth"": 4, ""max_features"": null, ""min_samples_leaf"": 2, ""min_samples_split"": 4, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.9}",125639.13060844103,61629.78925090291,0.8547787978626991,0.8535422149812745,7,False
Gradient Boosting,25,"{""learning_rate"": 0.07, ""loss"": ""huber"", ""max_depth"": 5, ""max_features"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 250, ""random_state"": 42, ""subsample"": 0.9}",125910.70748616508,60787.29832232588,0.8541503098255506,0.8529083752631285,8,False
Gradient Boosting,51,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 6, ""max_features"": 0.9, ""min_samples_leaf"": 1, ""min_samples_split"": 2, ""n_estimators"": 100, ""random_state"": 42, ""subsample"": 1.0}",126156.14460487918,63336.5958330255,0.8535811474751177,0.8523343663998659,9,False
Gradient Boosting,46,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.7}",126194.87714631004,61946.07372687792,0.8534912264510843,0.8522436796832383,10,False
Gradient Boosting,6,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 6, ""max_features"": null, ""min_samples_leaf"": 5, ""min_samples_split"": 4, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 0.9}",126242.99649357682,62380.23552427065,0.8533794746777823,0.8521309763248524,11,False
Gradient Boosting,19,"{""learning_rate"": 0.07, ""loss"": ""squared_error"", ""max_depth"": 6, ""max_features"": ""sqrt"", ""min_samples_leaf"": 5, ""min_samples_split"": 4, ""n_estimators"": 300, ""random_state"": 42, ""subsample"": 1.0}",126341.6365589216,62129.61401825882,0.8531502610373388,0.8518998108918345,12,False
Gradient Boosting,30,"{""learning_rate"": 0.1, ""loss"": ""squared_error"", ""max_depth"": 5, ""max_features"": 0.7, ""min_samples_leaf"": 5, ""min_samples_split"": 8, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 1.0}",126392.85557417551,63164.76148323986,0.8530311708650701,0.8517797066467844,13,False
Gradient Boosting,58,"{""learning_rate"": 0.05, ""loss"": ""squared_error"", ""max_depth"": 6, ""max_features"": null, ""min_samples_leaf"": 3, ""min_samples_split"": 2, ""n_estimators"": 200, ""random_state"": 42, ""subsample"": 0.8}",126393.7123427348,62248.523610371674,0.8530291783679752,0.8517776971832427,14,False
